groupId,severity,issueCode,variantClassification,variantConfidence,variantSignals,variantAttributes,intentKey,signals,pageCount,pageTypes,primaryUrl,primaryInboundInternalLinks,competingUrls,sampleTitles,sharedTitle,sharedMetaDescription,sharedContentHash,recommendation
CAN-0001,high,content_cannibalization_duplicate_content,true_cannibalization,none,,,buy 3 for ₹799 online - pick any 3 for 799 rs – tripr,duplicate_title|duplicate_meta_description|duplicate_content,4,page,https://triprindia.com/pages/buy-3-for-799,965,,Buy 3 for ₹799 Online - Pick any 3 for 799 Rs – TRIPR,buy 3 for ₹799 online - pick any 3 for 799 rs – tripr,"buy any 3 for 799 rs. bundle sale online, mix and match your favorite cloths and enjoy fastest delivery only at triprindia.com",0a762c6b5ed58fa084b41002a838c485d94af8a0,"Consolidate near-identical pages, add unique content, or canonicalize/noindex weaker variants when they should not rank separately."
CAN-0002,high,content_cannibalization_duplicate_content,true_cannibalization,none,,,buy shirts for men online at ₹249 – tripr,duplicate_title|duplicate_meta_description|duplicate_content,3,collection,https://triprindia.com/collections/shirts,966,,Buy Shirts For Men Online at ₹249 – TRIPR,buy shirts for men online at ₹249 – tripr,shop shirts for men at just ₹249 online. huge collections of mens shirts available on smart casuals and formals at affordable prices. get the fastest shipping & easy returns for 7 days.,e04ab25cdd123d97037905bd29de698a37968228,"Consolidate near-identical pages, add unique content, or canonicalize/noindex weaker variants when they should not rank separately."
CAN-0003,high,content_cannibalization_duplicate_content,true_cannibalization,none,,,affordable clothes fashion,duplicate_title|duplicate_meta_description|duplicate_content|shared_keyword_intent,2,collection,https://triprindia.com/collections/all,967,,Men's Fashion | Shop Men Clothes Online At Affordable Prices – TRIPR,men's fashion | shop men clothes online at affordable prices – tripr,shop men's apparels starts from 209 rs. online. explore various clothes and combo apparels at tripr india and get quick delivery | 7 days returns,e33ada7af37fbcb112979d67e353da9ab0fe351b,"Consolidate near-identical pages, add unique content, or canonicalize/noindex weaker variants when they should not rank separately."
CAN-0004,high,content_cannibalization_duplicate_content,true_cannibalization,none,,,arrival latest new tshirt,duplicate_title|duplicate_meta_description|duplicate_content|shared_keyword_intent,2,collection,https://triprindia.com/collections/all-tshirt,6,,Buy New Arrival T-Shirts For Men Online – TRIPR,buy new arrival t-shirts for men online – tripr,shop newly dropped tshirts online. explore latest collections of tshirts for men at tripr india. shop now and enjoy ✓fastest delivery ✓easy return & exchanges.,c6a1368f15b8374f850506543ee419252acf1f32,"Consolidate near-identical pages, add unique content, or canonicalize/noindex weaker variants when they should not rank separately."
CAN-0005,high,content_cannibalization_duplicate_content,true_cannibalization,none,,,clothes combo combos sets,duplicate_title|duplicate_meta_description|duplicate_content|shared_keyword_intent,2,collection,https://triprindia.com/collections/combos,967,,Buy Combo Clothes For Men Online | Combo sets – TRIPR,buy combo clothes for men online | combo sets – tripr,shop combo dresses for men online starts from ₹309. explore various combo dress sets for men at affordable prices from tripr india.,15d9281eb80332d01bd93ad80701f95350199c95,"Consolidate near-identical pages, add unique content, or canonicalize/noindex weaker variants when they should not rank separately."
CAN-0006,high,content_cannibalization_duplicate_content,true_cannibalization,none,,,combos printed starting vest,duplicate_title|duplicate_meta_description|duplicate_content|shared_keyword_intent,2,collection,https://triprindia.com/collections/printed-vest,967,,Buy Men’s Vest Starting At ₹169 | Vest Combos For ₹299 Online – TRIPR,buy men’s vest starting at ₹169 | vest combos for ₹299 online – tripr,"buy vests for men online at just ₹169, vest combos for ₹299. shop graphic printed, sleeveless and casual vests from tripr india.",d6e47b53391c4541fd12777b5e4211453c817e2d,"Consolidate near-identical pages, add unique content, or canonicalize/noindex weaker variants when they should not rank separately."
CAN-0007,medium,content_cannibalization_duplicate_title,true_cannibalization,none,,,privacy policy – tripr,duplicate_title,2,page|policy,https://triprindia.com/pages/privacy-policy,948,https://triprindia.com/policies/privacy-policy,Privacy Policy – TRIPR|Privacy policy – TRIPR,privacy policy – tripr,,,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0008,medium,content_cannibalization_duplicate_title,true_cannibalization,none,,,travel jacket – tripr,duplicate_title,2,collection|page,https://triprindia.com/pages/travel-jacket,968,https://triprindia.com/collections/travel-jacket,Travel Jacket – TRIPR,travel jacket – tripr,,,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0009,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,high neck quarter sweatshirts tagged zip,duplicate_meta_description,13,collection,https://triprindia.com/collections/sweatshirt-for-mens,968,https://triprindia.com/collections/sweatshirt-for-mens/high-neck-quarter-zip-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/printed-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/collar-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/round-neck-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/combo-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/black-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/grey-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/beige-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/white-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/maroon-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/olive-green-sweatshirts|https://triprindia.com/collections/sweatshirt-for-mens/navy-blue-sweatshirts,"Buy Sweatshirts For Men Online at ₹389 – TRIPR|Buy Sweatshirts For Men Online at ₹389 – Tagged ""high neck quarter zip sweatshirts"" – T...|Buy Sweatshirts For Men Online at ₹389 – Tagged ""printed sweatshirts"" – TRIPR|Buy Sweatshirts For Men Online at ₹389 – Tagged ""collar sweatshirts"" – TRIPR|Buy Sweatshirts For Men Online at ₹389 – Tagged ""round neck sweatshirts"" – TRIPR",,keep the chill off in style with winter sweatshirts starting at just ₹389. find warm sweatshirts featuring trendy styles at tripr india. enjoy your perfect winter look is waiting for you.,,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
CAN-0010,medium,content_cannibalization_duplicate_description,true_cannibalization,none,,,combo pant track,duplicate_meta_description,6,collection,https://triprindia.com/collections/track-pants-for-men,968,https://triprindia.com/collections/track-pants-for-men/baggy-track-pants|https://triprindia.com/collections/track-pants-for-men/colour-blocked-track-pants|https://triprindia.com/collections/track-pants-for-men/printed-track-pants|https://triprindia.com/collections/track-pants-for-men/track-pants-combo|https://triprindia.com/collections/track-pants-for-men/plain-track-pants,"Buy Track Pants For Men & Track pants Combo Online – TRIPR|Buy Track Pants For Men & Track pants Combo Online – Tagged ""baggy track pants"" – TRIPR|Buy Track Pants For Men & Track pants Combo Online – Tagged ""colour blocked track pants...|Buy Track Pants For Men & Track pants Combo Online – Tagged ""printed track pants"" – TRIPR|Buy Track Pants For Men & Track pants Combo Online – Tagged ""track pants combo"" – TRIPR",,"shop men's track pants starting at ₹249 & combos at ₹399 online affordable sale. explore solid, printed, multi colour, cuffed & baggy track pants in one place and get coupons offers at checkout.",,"Choose a primary URL for the shared intent, strengthen its internal links, and rewrite competing pages for more specific long-tail intent."
